_id,title,text,query
<dbpedia:Antianginal>,Antianginal,"An antianginal is any drug used in the treatment of angina pectoris, a symptom of ischaemic heart disease.",what is an antianginal
<dbpedia:Abdul_Rashid_Dostum>,Abdul Rashid Dostum,"Abdul Rashid Dostum (About this sound pronunciation : AHB-dəl rah-SHEED dohs-TOOM; Persian: عبدالرشید دوستم) (born 1954) is an Afghanistan warlord and ethnic Uzbek who has served as Vice President of Afghanistan since 2014. He was previously part of the leadership council of the National Front of Afghanistan along with Ahmad Zia Massoud and Mohammad Mohaqiq, as well as chairman of his own political party, Junbish-e Milli-yi Islami-yi Afghanistan (National Islamic Movement of Afghanistan).",who was abdul dostum
<dbpedia:Arthur_J._Stone>,Arthur J. Stone,"Arthur J. Stone (1847–1938), a leading American silversmith, was born, trained and worked in Sheffield, England, and Edinburgh, Scotland, before travelling to the United States in 1884. He was one of the last silversmiths in America to train apprentices to carry out designs in hand-wrought silver. In 1901, Stone set up a workshop in Gardner, Massachusetts which operated under his name until its sale in 1937 to Henry Heywood.",who was arthur stone
<dbpedia:'Abd_al-Rahman_I>,'Abd al-Rahman I,"Abd al-Rahman I, or, his full name by patronymic record, Abd al-Rahman ibn Mu'awiya ibn Hisham ibn Abd al-Malik ibn Marwan (731–788) was the founder of a Muslim dynasty that ruled the greater part of Iberia for nearly three centuries (including the succeeding Caliphate of Córdoba). At the time it was known by the Arabs as al-Andalus.",who is abd al rahman
<dbpedia:Apache_HTTP_Server>,Apache HTTP Server,"The Apache HTTP Server, colloquially called Apache (/əˈpætʃiː/ ə-PA-chee), is the world's most used web server software. Originally based on the NCSA HTTPd server, development of Apache began in early 1995 after work on the NCSA code stalled. Apache played a key role in the initial growth of the World Wide Web, quickly overtaking NCSA HTTPd as the dominant HTTP server, and has remained most popular since April 1996.",what is apache for
<dbpedia:George_Abbot_(bishop)>,George Abbot (bishop),"George Abbot (19 October 1562 – 5 August 1633) was an English divine who was Archbishop of Canterbury from 1611 to 1633. He also served as the fourth Chancellor of Trinity College, Dublin, from 1612 to 1633.The Chambers Biographical Dictionary describes him as ""[a] sincere but narrow-minded Calvinist"". Among his five brothers, Robert became Bishop of Salisbury and Maurice became Lord Mayor of London.",who is george abbot
<dbpedia:Abbas_II_of_Egypt>,Abbas II of Egypt,"Abbas II Hilmi Bey (also known as ‘Abbās Ḥilmī Pasha) (Arabic: عباس حلمي باشا‎) (14 July 1874 – 19 December 1944) was the last Khedive (Ottoman viceroy) of Egypt and Sudan, ruling from 8 January 1892 to 19 December 1914.",who was abbas bey
<dbpedia:Annals_of_Mathematics>,Annals of Mathematics,"The Annals of Mathematics is a bimonthly mathematical journal published by Princeton University and the Institute for Advanced Study.Although its ISO 4 abbreviation is Ann. Math., Mathematical Reviews and many other mathematical publications abbreviate it as Ann. of Math. instead.",is ann math abbreviated
<dbpedia:Air_show>,Air show,"An air show, (also airshow, Air Fair, or Air Tattoo) is a public event at which aviators display their flying skills and the capabilities of their aircraft to spectators, usually by means of aerobatics. Air shows without aerobatic displays, having only aircraft displayed parked on the ground, are called ""static air shows"".",definition of air show
<dbpedia:Aberration_of_light>,Aberration of light,The aberration of light (also referred to as astronomical aberration or stellar aberration) is an astronomical phenomenon which produces an apparent motion of celestial objects about their locations dependent on the velocity of the observer. Aberration causes objects to appear to be angled or tilted towards the direction of motion of the observer compared to when the observer is stationary.,definition of aberration of light in astronomy
<dbpedia:Anatomical_Therapeutic_Chemical_Classification_System>,Anatomical Therapeutic Chemical Classification System,"The Anatomical Therapeutic Chemical (ATC) Classification System is used for the classification of active ingredients of drugs according to the organ or system on which they act and their therapeutic, pharmacological and chemical properties.",what are the classifications in anatomical therapeutic chemical
<dbpedia:Alkyne>,Alkyne,"In organic chemistry, an alkyne is an unsaturated hydrocarbon containing at least one carbon—carbon triple bond between two carbon atoms. The simplest acyclic alkynes with only one triple bond and no other functional groups form a homologous series with the general chemical formula CnH2n-2.  Alkynes are traditionally known as acetylenes, although the name acetylene also refers specifically to C2H2, known formally as ethyne using IUPAC nomenclature.",alkyne definition
<dbpedia:Abiathar>,Abiathar,"Abiathar  (אביתר, Ebyathar, Evyatar, the [divine] father is pre-eminent or father of plenty), in the Hebrew Bible, son of Ahimelech or Ahijah, High Priest at Nob, the fourth in descent from Eli (1 Sam. 23:6) and the last of Eli's House. The only one of the priests to escape from Saul's massacre, he fled to David at Keilah, taking with him the ephod and other priestly regalies (1 Sam. 22:20 f., 23:6, 9). He was of great service to David, especially at the time of the rebellion of Absalom (2 Sam.",ahimelech is who
<dbpedia:Ames_test>,Ames test,"The Ames test is a widely employed method that uses bacteria to test whether a given chemical can cause mutations in the DNA of the test organism. More formally, it is a biological assay to assess the mutagenic potential of chemical compounds. A positive test indicates that the chemical is mutagenic and therefore may act as a carcinogen, because cancer is often linked to mutation.",ames dna
<dbpedia:Asexual_reproduction>,Asexual reproduction,"Asexual reproduction is a mode of reproduction by which offspring arise from a single organism, and inherit the genes of that parent only; it does not involve the fusion of gametes and almost never changes the number of chromosomes. Asexual reproduction is the primary form of reproduction for single-celled organisms such as the archaebacteria, eubacteria, and protists.",what is asexual reproduction
<dbpedia:André_the_Giant>,André the Giant,"André René Roussimoff (May 19, 1946 – January 27, 1993), best known as André the Giant, was a French professional wrestler and actor. He most famously feuded with Hulk Hogan, culminating at WrestleMania III, and his best-remembered film role was that of Fezzik, the giant in The Princess Bride. His size was a result of gigantism caused by excess growth hormone, which later resulted in acromegaly.",where was andre the giant
<dbpedia:Abigail>,Abigail,"Abigail (Hebrew: אֲבִיגַיִל / אֲבִיגָיִל, Modern Avigáyil Tiberian ʾĂḇîḡáyil / ʾĂḇîḡāyil ; ""my father's joy"", spelled Abigal in 2 Samuel 17:25 in the American Standard Version but not in the King James Version) was the wife of  Nabal; she became a wife of David after Nabal's death (1 Samuel 25).",who is the wife of abidal
<dbpedia:Ajanta_Caves>,Ajanta Caves,"The Ajanta Caves in Aurangabad district of Maharashtra state of India are about 30 rock-cut Buddhist cave monuments which date from the 2nd century BCE to about 480 or 650 CE.  The caves include paintings and sculptures described by the government Archaeological Survey of India as ""the finest surviving examples of Indian art, particularly painting"", which are masterpieces of Buddhist religious art, with figures of the Buddha and depictions of the Jataka tales.",ajanta caves
<dbpedia:Optical_aberration>,Optical aberration,"An optical aberration is a departure of the performance of an optical system from the predictions of paraxial optics. In an imaging system, it occurs when light from one point of an object does not converge into (or does not diverge from) a single point after transmission through the system.",optical aberration definition
<dbpedia:Aldona_of_Lithuania>,Aldona of Lithuania,"Aldona (baptized Ona or Anna; her pagan name, Aldona, is known only from the writings of Maciej Stryjkowski; c. 1309 –  26 May 1339) was Queen consort of Poland (1333–1339), and a princess of the Grand Duchy of Lithuania. She was the daughter of Gediminas, Grand Duke of Lithuania.",was aldona a princess
<dbpedia:Andreas_Schlüter>,Andreas Schlüter,Andreas Schlüter (20 May 1664 – May 1714) was a German baroque sculptor and architect associated with the Petrine Baroque style of architecture and decoration.,how was andreas schlüter's style different
<dbpedia:Aron_Nimzowitsch>,Aron Nimzowitsch,"Aron Nimzowitsch (Latvian: Ārons Ņimcovičs, Russian: Аро́н Иса́евич Нимцо́вич, Aron Isayevich Nimtsovich; born Aron Niemzowitsch; 7 November 1886 – 16 March 1935) was a Russian-born, Danish leading chess master and a very influential chess writer. He was the foremost figure amongst the hypermoderns.",who is nimzowitsch
<dbpedia:Alphabet_song>,Alphabet song,"An alphabet song is any of various songs used to teach children an alphabet, used in kindergartens, pre-schools and homes around the world. Alphabet songs typically follow the alphabetic principle (though the phonics method offers variants). In languages such as English with morphophonemic variation (e.g. ""cake"" is /ˈkeɪk/, not [ˈkaːkɛ]), an alphabet song usually chooses a particular pronunciation for each letter in the alphabet and also typically for some words in the song.",what song is an alphabet song
<dbpedia:Abjuration>,Abjuration,"Abjuration is the solemn repudiation, abandonment, or renunciation by or upon oath, often the renunciation of citizenship or some other right or privilege. (It comes from the Latin abjurare, ""to forswear"").",what is abjuration
<dbpedia:Antigonid_dynasty>,Antigonid dynasty,"The Antigonid dynasty (/ænˈtɪɡɵnɪd/; Greek: Ἀντιγονίδαι) was a dynasty of Hellenistic kings descended from Alexander the Great's general Antigonus I Monophthalmus ""\the One-eyed"").",who was the antigonid dynasty
<dbpedia:Alkene>,Alkene,"In organic chemistry, an alkene is an unsaturated hydrocarbon that contains at least one carbon–carbon double bond. Alkene, olefin, and olefine are used often interchangeably (see nomenclature section below).  Acyclic alkenes, with only one double bond and no other functional groups, known as mono-enes, form a homologous series of hydrocarbons with the general formula CnH2n. Alkenes have two hydrogen atoms less than the corresponding alkane (with the same number of carbon atoms).",what are alkenes?
<dbpedia:Anthropic_principle>,Anthropic principle,"The anthropic principle (from Greek  anthropos, meaning ""human"") is the philosophical consideration that observations of the universe must be compatible with the conscious and sapient life that observes it. Some proponents of the anthropic principle reason that it explains why the universe has the age and the fundamental physical constants necessary to accommodate conscious life.",what is the anthropic principle?
<dbpedia:April_7>,April 7,April 7 is the 97th day of the year (98th in leap years) in the Gregorian calendar. There are 268 days remaining until the end of the year.,what is april 7
<dbpedia:Aberdour>,Aberdour,"Aberdour (/ˌæbərˈdaʊər/; Scots: Aiberdour, Scottish Gaelic: Obar Dobhair) is a scenic and historic village on the south coast of Fife, Scotland.  It is on the north shore of the Firth of Forth, looking south to the island of Inchcolm and its Abbey, and to Leith and Edinburgh beyond. According to the 2011 census, the town has a population of 1,633.The village's winding  High Street lies a little inland from the coast.",where is aberdour
<dbpedia:Abersychan>,Abersychan,"Abersychan is a settlement and community north of Pontypool in Torfaen, Wales, and lies within the boundaries of the historic county of Monmouthshire and the preserved county of Gwent.Abersychan lies in the narrow northern section of the Afon Lwyd valley.The town includes two schools; Abersychan Comprehensive School and Victoria Primary School; together with various shops and other amenities including Abersychan Rugby Club.Abersychan was the birthplace of the politicians Roy Jenkins, Don Touhig and Paul Murphy (MP for Torfaen), and of the rugby footballers Wilfred Hodder, Candy Evans and Bryn Meredith.",what county is butsychan wales
<dbpedia:Azawakh>,Azawakh,The Azawakh is a sighthound dog breed from Africa.,what type of dog is a azawakh?
<dbpedia:Acrylic_paint>,Acrylic paint,"Acrylic paint is a fast-drying paint containing pigment suspension in acrylic polymer emulsion. Acrylic paints are water-soluble, but become water-resistant when dry. Depending on how much the paint is diluted with water or modified with acrylic gels, media, or pastes, the finished acrylic painting can resemble a watercolor or an oil painting, or have its own unique characteristics not attainable with other media.",what are acrylic paint
<dbpedia:Abertillery>,Abertillery,"Abertillery (from Welsh  Abertyleri, meaning ""mouth of the River Tyleri"", English pronunciation: æbərtɨˈlɛəri) is the largest town of the Ebbw Fach valley in what was the historic county of Monmouthshire, South Wales.  Following local government reorganisation it became part of the Blaenau Gwent County Borough administrative area.The surrounding landscape borders the Brecon Beacons National Park and the Blaenavon World heritage Site.",what county is abertillery
<dbpedia:Abraham_Joshua_Heschel>,Abraham Joshua Heschel,"Abraham Joshua Heschel (January 11, 1907 – December 23, 1972) was a Polish-born American rabbi and one of the leading Jewish theologians and Jewish philosophers of the 20th century. Heschel, a professor of Jewish mysticism at the Jewish Theological Seminary of America, authored a number of widely read books on Jewish philosophy and was active in the American Civil Rights movement.",who was ashley heschel
<dbpedia:Abdülaziz_of_the_Ottoman_Empire>,Abdülaziz of the Ottoman Empire,"Abdülaziz of the Ottoman Empire or Abdülaziz I (Ottoman Turkish: عبد العزيز / `Abdü’l-`Azīz, Turkish: I. Abdülaziz; 9/18 February 1830 – 4 June 1876) was the 32nd Sultan of the Ottoman Empire and reigned between 25 June 1861 and 30 May 1876.",who was the 32nd sultan
<dbpedia:Latin_American_Integration_Association>,Latin American Integration Association,"The Latin American Integration Association / Asociación Latinoamericana de Integración / Associação Latino-Americana de Integração (LAIA / ALADI) is an international and regional scope organization. It was created on 12 August 1980 by the 1980 Montevideo Treaty, replacing the Latin American Free Trade Association (LAFTA / ALALC). Currently, it has 13 member countries, and any of the Latin American States may apply for accession.",what is the latin american integration association
<dbpedia:Aircraft_spotting>,Aircraft spotting,"Aircraft spotting or plane spotting is the observation, photographing, and logging of the registration numbers of aircraft, which includes gliders, balloons, airships, helicopters, and microlights.",what is plane spotting
<dbpedia:Abadeh>,Abadeh,"Abadeh (Persian:  آباده ‎‎, also Romanized as Ābādeh) is a city in  and the capital of Abadeh County, in Fars Province, Iran. Abadeh is situated at an elevation of 6,200 feet (1,890 m) in a fertile plain on the high road between Isfahan and Shiraz, 140 miles (230 km) from the former and 170 miles (270 km) from the latter.  At the 2006 census, its population was 52,042, in 14,184 families.",what county is abadeh
<dbpedia:Adrastea_(moon)>,Adrastea (moon),"Adrastea (/ædrəˈstiːə/ ad-rə-STEE-ə; Greek: Αδράστεια), also known as Jupiter XV, is the second by distance, and the smallest of the four inner moons of Jupiter. It was discovered in Voyager 2 probe photographs taken in 1979, making it the first natural satellite to be discovered from images taken by an interplanetary spacecraft, rather than through a telescope.",asteroid adrastea
<dbpedia:Au_file_format>,Au file format,"The Au file format is a simple audio file format introduced by Sun Microsystems. The format was common on NeXT systems and on early Web pages. Originally it was headerless, being simply 8-bit µ-law-encoded data at an 8000 Hz sample rate. Hardware from other vendors often used sample rates as high as 8192 Hz, often integer factors of video clock signals.",what is an au file
<dbpedia:Abergavenny>,Abergavenny,"Abergavenny (Welsh: Y Fenni), meaning Mouth of the River Gavenny, is a market town in Monmouthshire, Wales.  It is located 15 miles (24 km) west of Monmouth on the A40 and A465 roads, 6 miles (10 km) from the English border. Originally the site of a Roman fort, Gobannium, it became a medieval walled town within the Welsh Marches. The town contains the remains of a medieval stone castle built soon after the Norman conquest of Wales.Abergavenny is promoted as the ""Gateway to Wales"".",where is abergavenny wales
<dbpedia:Abd_ar-Rahman_V>,Abd ar-Rahman V,"Abd ar-Rahman V (Arabic: عبد الرحمن الخامس‎) was an Umayyad Caliph of Córdoba.In the agony of the Umayyad dynasty in the Al-Andalus (Moorish Iberia), two princes of the house were proclaimed Caliph of Córdoba for a very short time, Abd-ar-Rahman IV Mortada (1017), and Abd-ar-Rahman V Mostadir (1023–1024). Both were the mere puppets of factions, who deserted them at once.",who was the caliph of córdoba
<dbpedia:Andrzej_Sapkowski>,Andrzej Sapkowski,Andrzej Sapkowski (Polish pronunciation: [ˈandʐɛj sapˈkɔfskʲi]; born 21 June 1948) is a Polish fantasy writer. He is best known for his best-selling book series The Witcher.In 2012 Sapkowski was awarded the Medal for Merit to Culture – Gloria Artis.,who is andrzej sapkowski
"<dbpedia:Aberfoyle,_Stirling>","Aberfoyle, Stirling","Aberfoyle (Scottish Gaelic: Obar Phuill) is a village in the Land Registration County  of Perth and the local government district of Stirling, Scotland. The settlement lies 27 miles (43 km) northwest of Glasgow.The town is situated on the River Forth at the base of Craigmore (420 metres high).","where is aberfoyle, scotland"
<dbpedia:Aerodynamics>,Aerodynamics,"Aerodynamics, from Greek ἀήρ aer (air) + δυναμική (dynamics), is a branch of Fluid dynamics concerned with studying the motion of air, particularly when it interacts with a solid object, such as an airplane wing. Aerodynamics is a sub-field of fluid dynamics and gas dynamics, and many aspects of aerodynamics theory are common to these fields.",aerodynamics definition
<dbpedia:Aalen>,Aalen,"Aalen (German pronunciation: [ˈʔaːlən]) is a former Free Imperial City located in the eastern part of the German state of Baden-Württemberg, about 70 kilometres (43 mi) east of Stuttgart and  48 kilometres (30 mi) north of Ulm. It is the seat of the Ostalbkreis district and is its largest town. It is also the largest town in the Ostwürttemberg region. Since 1956, Aalen has had the status of Große Kreisstadt (major district town).","where is aalen, germany"
<dbpedia:Aberdare>,Aberdare,"Aberdare (/ˌæbərˈdɛər/ ab-ər-DAIR; Welsh: Aberdâr) is a town in the Cynon Valley area of Rhondda Cynon Taf, Wales, at the confluence of the Rivers Dare (Dâr) and Cynon.  The population at the 2001 census was 31,705 (ranked 13th largest in Wales). Aberdare is 4 miles (6 km) south-west of Merthyr Tydfil, 20 miles (32 km) north-west of Cardiff and 22 miles (35 km) east-north-east of Swansea.","what county is aberdare, wales in"
<dbpedia:Ahimsa>,Ahimsa,"Ahimsa (Sanskrit: अहिंसा; IAST: ahimsā, Pāli: avihiṃsā) is a term meaning 'not to injure' and 'compassion'. The word is derived from the Sanskrit root hiṃs – to strike; hiṃsā is injury or harm, a-hiṃsā is the opposite of this, i.e. cause no injury, do no harm.",ahimsa definition
<dbpedia:Alexander_of_Hales>,Alexander of Hales,"Alexander of Hales, O.F.M., (c. 1185 – 21 August 1245) (also Halensis, Alensis, Halesius, Alesius) also called Doctor Irrefragibilis (by Pope Alexander IV in the Bull De Fontibus Paradisi) and Theologorum Monarcha was a theologian and philosopher important in the development of Scholasticism and of the Franciscan School.",who is alexander of hales
<dbpedia:Aswan>,Aswan,"Aswan (English pronunciation: /ˌæsˈwɑːn/; Egyptian Arabic: أسوان Aswān  [ʔɑsˈwɑːn]; Ancient Egyptian: Swenett; Coptic: ⲥⲟⲩⲁⲛ Souan; Ancient Greek: Συήνη Syene), formerly spelled Assuan, is a city in the south of Egypt, the capital of the Aswan Governorate.Aswan is a busy market and tourist centre located just north of the Aswan Dams on the east bank of the Nile at the first cataract. The modern city has expanded and includes the formerly separate community on the island of Elephantine.",is aswan egypt a city
<dbpedia:Active_Server_Pages>,Active Server Pages,"Active Server Pages (ASP), later known as Classic ASP or ASP Classic, is Microsoft's first server-side script engine for dynamically generated web pages. ASP.NET, first released in January 2002, has superseded ASP.",what is asp
<dbpedia:Akihabara>,Akihabara,"Akihabara (秋葉原) is a district in the Chiyoda ward of Tokyo, Japan.",where is akihabara japan?
<dbpedia:Alicante>,Alicante,"Alicante (/ˌælɨˈkæntiˌ -teɪ/, Spanish: [aliˈkante]), or Alacant (Valencian: [alaˈkant]), both official names, is a city and port in Spain on the Costa Blanca, the capital of the province of Alicante and of the comarca of Alacantí, in the south of the Valencian Community. It is also a historic Mediterranean port. The population of the city of Alicante proper was 332,067, estimated as of 2014, ranking as the second-largest Valencian city.",where is alicante
<dbpedia:ArgoUML>,ArgoUML,"ArgoUML is an UML diagramming application written in Java and released under the open source Eclipse Public License.  By virtue of being a Java application, it is available on any platform supported by Java.",what is argouml
<dbpedia:Arbeit_macht_frei>,Arbeit macht frei,"""Arbeit macht frei"" (German pronunciation: [ˈaɐ̯baɪt ˈmaxt ˈfʁaɪ]) is a German phrase meaning ""work makes (you) free."" The slogan was placed over the entrances to a number of Nazi concentration camps during World War II, including Auschwitz I, where it was made by prisoners with metalwork skills and erected by order of the Nazis in June 1940.",what does the phrase Arbeit macht frei mean?
<dbpedia:ACE_inhibitor>,ACE inhibitor,"An angiotensin-converting-enzyme inhibitor (ACE inhibitor) is a pharmaceutical drug used primarily for the treatment of hypertension (elevated blood pressure) and congestive heart failure.This group of drugs cause relaxation of blood vessels, as well as a decreased blood volume, which leads to lower blood pressure and decreased oxygen demand from the heart.",what does an ace inhibitor do
<dbpedia:AutoCAD_DXF>,AutoCAD DXF,"AutoCAD DXF (Drawing Interchange Format, or Drawing Exchange Format) is a CAD data file format developed by Autodesk for enabling data interoperability between AutoCAD and other programs.DXF was originally introduced in December 1982 as part of AutoCAD 1.0, and was intended to provide an exact representation of the data in the AutoCAD native file format, DWG (Drawing), for which Autodesk for many years did not publish specifications.",what is the autocad format
<dbpedia:Axayacatl>,Axayacatl,"Axayacatl ([aːʃaːˈjakat͡ɬ] (the name means ""Water-mask"" or ""Water-face"") was the sixth Aztec Emperor, a ruler (tlatoani) of the Postclassic Mesoamerican Aztec Empire and city of Tenochtitlan, who reigned from 1469 to 1481.He is chiefly remembered for subjugating Tlatelolco, Tenochtitlan's sister city, in 1473.",what is the aztec emperor name
<dbpedia:AutoCAD>,AutoCAD,"AutoCAD is a commercial software application for 2D and 3D computer-aided design (CAD) and drafting — available since 1982 as a desktop application and since 2010 as a mobile web- and cloud-based app marketed as AutoCAD 360.Developed and marketed by Autodesk, AutoCAD was first released in December 1982, running on microcomputers with internal graphics controllers.",what is autocad software
<dbpedia:Alexander_Kerensky>,Alexander Kerensky,"Alexander Fyodorovich Kerensky (Russian: Алекса́ндр Фёдорович Ке́ренский, IPA: [ɐlʲɪˈksandr ˈkʲerʲɪnskʲɪj]; 2 May 1881 – 11 June 1970) was a Russian lawyer and politician, who served as the second Minister-Chairman of the Russian Provisional Government in July–November 1917.",who was alexander kerensky
