_id,title,text,query
"<dbpedia:Winifred,_Montana>","Winifred, Montana","Winifred is a town in north-central Fergus County, Montana, United States. The population was 208 at the 2010 census. Winifred was founded in 1913 as the terminus of a newly built branch line of the Chicago, Milwaukee, St. Paul and Pacific Railroad ""\the Milwaukee Road"").  It is popularly believed to have been named after one of the railroad owner's two daughters (the other being Christina, another small town about 15 miles away).","what county is winifred, mt in"
"<dbpedia:Martin_City,_Montana>","Martin City, Montana","Martin City is a census-designated place (CDP) in Flathead County, Montana, United States.",what county is martin city mt in?
"<dbpedia:Lakeside,_Montana>","Lakeside, Montana","Lakeside is a census-designated place (CDP) in Flathead County, Montana, United States. The population was 1,679 at the 2000 census.",where is lakeside mt
<dbpedia:Sean_Waltman>,Sean Waltman,"Sean Michael Waltman (born July 13, 1972) is an American professional wrestler. He wrestled for the World Wrestling Federation (WWF, now called WWE) under the ring names 1–2–3 Kid and X-Pac intermittently between 1993 and 2002, World Championship Wrestling (WCW) as Syxx, and Total Nonstop Action Wrestling (TNA) as Syxx-Pac and Sean Waltman.He is signed with WWE working in their Legends program.",who is sean waltman
"<dbpedia:Kalispell,_Montana>","Kalispell, Montana","Kalispell (Ktunaxa: kqaya·qawa·kǂuʔnam, Salish: qlispél) is a city in, and the county seat of, Flathead County, Montana. The 2013 Census estimates put Kalispell's population at 20,972. The Kalispell Micropolitan Statistical Area has a population of 93,068 and it is the largest city and commercial center of northwest Montana. The name Kalispell is a Salish word meaning ""flat land above the lake"". Kalispell is also the gateway to Glacier National Park.",what county is kalispell mt
"<dbpedia:Belgrade,_Montana>","Belgrade, Montana","Belgrade is a city in Gallatin County, Montana, United States. The population was 7,389 at the 2010 census. It is the largest city in Montana that is not a county seat.The original townsite of Belgrade was established and filed in the Gallatin County Clerk and Recorder's Office by Thomas B. Quaw, a businessman from the midwest, in July 1881.",population of belgrade montana
<dbpedia:Noises_Off>,Noises Off,"Noises Off is a 1982 play by the English playwright Michael Frayn. The idea for it came in 1970, when Frayn was watching from the wings a performance of The Two of Us, a farce that he had written for Lynn Redgrave. He said, ""It was funnier from behind than in front, and I thought that one day I must write a farce from behind.""  The prototype, a short-lived one-act play called Exits, was written and performed in 1977.",who wrote noises off
<dbpedia:Philosophy_of_physics>,Philosophy of physics,"In philosophy, the philosophy of physics studies the fundamental philosophical questions underlying modern physics, the study of matter and energy and how they interact. The philosophy of physics begins by reflecting on the basic metaphysical and epistemological questions posed by physics: causality, determinism, and the nature of physical law.",philosophy of physics
"<dbpedia:Four_Corners,_Montana>","Four Corners, Montana","Four Corners is a census-designated place (CDP) in Gallatin County, Montana, United States. The population was 3,146 at the 2010 census. It is part of the Bozeman, MT Micropolitan Statistical Area.","where is four corners, mt"
"<dbpedia:Glendive,_Montana>","Glendive, Montana","Glendive is a city in and the county seat of Dawson County, Montana, United States. Glendive was established by the Northern Pacific Railway when they built the transcontinental railroad across the northern tier of the western United States from Minnesota to the Pacific Coast.",where is glendive mt
<dbpedia:List_of_Indian_reservations_in_the_United_States>,List of Indian reservations in the United States,"This is a list of Indian reservations and other tribal homelands in the United States. In Canada, the Indian reserve is a similar institution.",what is the american reservation system
"<dbpedia:Manhattan,_Montana>","Manhattan, Montana","Manhattan is a town in Gallatin County, Montana, United States. The population was 1,520 at the 2010 census. It is part of the 'Bozeman Micropolitan Statistical Area'.",what county is manhattan montana in
<dbpedia:Homicide>,Homicide,"Homicide is the act of a human being causing the death of another human being. There are both unintentional and intentional homicides, and many different types of homicides are generally treated very differently in human societies; such classes of homicide can include murder, abortion, manslaughter, euthanasia, and execution.",definition of homicide
"<dbpedia:Ryegate,_Montana>","Ryegate, Montana","Ryegate is a town in and the county seat of Golden Valley County, Montana, United States. The population was 245 at the 2010 census. Ryegate is situated on the north bank of the Musselshell River.",ryegate mt is in what county
"<dbpedia:Whitefish,_Montana>","Whitefish, Montana","Whitefish (Salish: epɫx̣ʷy̓u, ""has whitefish"") is a city in Flathead County, Montana, United States. The population was 6,357 at the 2010 census. It is home to a ski resort on Big Mountain called Whitefish Mountain Resort. Former Montana Governor Brian Schweitzer hails from Whitefish.","where is whitefish, mt"
"<dbpedia:North_Browning,_Montana>","North Browning, Montana","North Browning is a census-designated place (CDP) in Glacier County, Montana, United States. The population was 2,408 at the 2010 census.",what county is north browning mt in
<dbpedia:Education_in_the_United_States>,Education in the United States,"Education in the United States is provided by public schools and private schools.Public education is universally required at the K–12 level, and is available at state colleges and universities for all students. K–12 public school curricula, budgets, and policies are set through locally elected school boards, who have jurisdiction over individual school districts.",what are the u.s. school districts
"<dbpedia:East_Glacier_Park_Village,_Montana>","East Glacier Park Village, Montana","East Glacier Park is a census-designated place (CDP) in Glacier County, Montana, United States. The population was 363 on the 2010 United States Census.","what county is east glacier park, montana in"
"<dbpedia:Willow_Creek,_Montana>","Willow Creek, Montana","Willow Creek is a census-designated place (CDP) in Gallatin County, Montana, United States. The population was 210 at the 2010 census. It is part of the Bozeman, MT Micropolitan Statistical Area.",what county is willow creek in mt
"<dbpedia:South_Browning,_Montana>","South Browning, Montana","South Browning is a census-designated place (CDP) in Glacier County, Montana, United States. The population was 1,677 at the 2000 census. South Browning is a rural village on the Blackfeet Indian Reservation. It is near to the town of Browning.",what county is south browning mt
<dbpedia:Shays'_Rebellion>,Shays' Rebellion,"Shays‍ '​  Rebellion was an armed uprising in Massachusetts (mostly in and around Springfield) during 1786 and 1787. Revolutionary War veteran Daniel Shays led four thousand rebels (called Shaysites) in rising up against perceived economic injustices by Massachusetts, and in a later attempt to capture the United States' national weapons arsenal at the U.S. Armory at Springfield.",what was shays' rebellion
"<dbpedia:Three_Forks,_Gallatin_County,_Montana>","Three Forks, Gallatin County, Montana","Three Forks is a city in Gallatin County, Montana, United States and is located within the watershed valley system of both the Missouri and Mississippi rivers drainage basins — and is historically considered the birthplace or start of the Missouri River. The population was 1,869 at the 2010 census.",what county is three forks mt
"<dbpedia:Jordan,_Montana>","Jordan, Montana","Jordan is a town in and the county seat of Garfield County, Montana, United States. The population was 343 at the 2010 census.",where is jordan mt
<dbpedia:Spectral_theorem>,Spectral theorem,"In mathematics, particularly linear algebra and functional analysis, the spectral theorem is any of a number of results about linear operators or matrices. In broad terms, the spectral theorem provides conditions  under which an operator or a matrix can be diagonalized (that is, represented as a diagonal matrix in some basis). Intuitively, diagonal matrices are computationally quite manageable, so it is of interest to see whether an arbitrary matrix can be diagonalized.",definition of spectral theorem
"<dbpedia:Starr_School,_Montana>","Starr School, Montana","Starr School is a census-designated place (CDP) in Glacier County, Montana, United States. The population was 248 at the 2000 census.",where is starr school
"<dbpedia:Cut_Bank,_Montana>","Cut Bank, Montana","Cut Bank is a city in and the county seat of Glacier County, Montana, United States, located just east-south-east of the ""cut bank"" (gorge) geographical feature which formed canyon-like along the eponymously named Cut Bank Creek river. The population was 2,919 at the 2010 census.",what county is cut bank mt in
"<dbpedia:Gildford,_Montana>","Gildford, Montana","Gildford is a census-designated place (CDP) in Hill County, Montana, United States. The population was 185 at the 2000 census.",what county is gildford mt in
