_id,title,text,query
<dbpedia:List_of_freshwater_aquarium_fish_species>,List of freshwater aquarium fish species,A vast number of species of fishes have been successfully kept in the home freshwater aquarium. This list gives some examples of the most commonly kept species.,list of fish species
<dbpedia:Filtration>,Filtration,"Filtration is commonly the mechanical or physical operation which is used for the separation of solids from fluids (liquids or gases) by interposing a medium through which only the fluid can pass. The fluid that passes through is called the filtrate.  Oversize solids in the fluid are retained, but the separation is not complete; solids will be contaminated with some fluid and filtrate will contain fine particles (depending on the pore size and filter thickness).",what is the process used to remove solid from fluid
<dbpedia:Fonni>,Fonni,"Fonni (Sardinian: Fonne) is a town and comune in Sardinia, in the province of Nuoro (Italy).It is the highest town in Sardinia, and situated among fine scenery with some chestnut woods. Fonni is a winter sports centre with a ski lift to Monte Spada and Bruncu Spina.",fonni definition
<dbpedia:Flirting>,Flirting,"Flirting or coquetry is a social and sometimes sexual activity involving verbal or written communication as well as body language by one person to another, suggesting an interest in a deeper relationship with the other person. In most cultures, it is socially disapproved for a person to make explicitly sexual advances, but indirect or suggestive advances (i.e., flirting) may at times be considered acceptable.",flirting meaning
<dbpedia:French_Foreign_Legion>,French Foreign Legion,"The French Foreign Legion (French: Légion Etrangère (French pronunciation: ​[leʒjɔ̃ etʁɑ̃ʒɛʁ]), L.É.) is a military service Wing of the French Army established in 1831, unique because it was created for foreign nationals willing to serve in the French Armed Forces.Commanded by French officers, it is also open to French citizens, who amounted to 24% of the recruits as of 2007.",what is the french foreign legion
<dbpedia:Functional_theories_of_grammar>,Functional theories of grammar,"Functional theories of grammar are those approaches to the study of language that see the functions of language and its elements to be the key to understanding linguistic processes and structures. Functional theories of language propose that since language is fundamentally a tool, it is reasonable to assume that its structures are best analyzed and understood with reference to the functions they carry out.",functional theory of grammar definition
<dbpedia:Lockheed_F-117_Nighthawk>,Lockheed F-117 Nighthawk,"The Lockheed F-117 Nighthawk is a single-seat, twin-engine stealth attack aircraft that was developed by Lockheed's secretive Skunk Works division and operated by the United States Air Force (USAF).  The F-117 was based on the Have Blue technology demonstrator, and was the first operational aircraft to be designed around stealth technology. The maiden flight of the Nighthawk happened in 1981 and the aircraft achieved initial operating capability status in 1983.",what is a nighthawk
<dbpedia:Felidae>,Felidae,"Felidae is the family of cats. A member of this family is also called a felid.Living cats belong to the subfamilies:Pantherinae – including tiger, lion, jaguar, leopard, snow leopard and clouded leopardFelinae – including all the non-pantherine catsCats are obligate carnivores; they must consume meat to survive. Therefore, they are sometimes referred to as hypercarnivores because of the much higher proportion of protein they require in their diet, much more than most other mammals.",what family are cats in
"<dbpedia:Francis_II,_Holy_Roman_Emperor>","Francis II, Holy Roman Emperor","Francis II (German: Franz II., Erwählter Römischer Kaiser) (12 February 1768 – 2 March 1835) was the last Holy Roman Emperor, ruling from 1792 until 6 August 1806, when he dissolved the Holy Roman Empire after the decisive defeat at the hands of the First French Empire led by Napoleon at the Battle of Austerlitz.",who was the holy emperor?
<dbpedia:Grumman_F-14_Tomcat>,Grumman F-14 Tomcat,"The Grumman F-14 Tomcat is a supersonic, twin-engine, two-seat, variable-sweep wing fighter aircraft. The Tomcat was developed for the United States Navy's Naval Fighter Experimental (VFX) program following the collapse of the F-111B project. The F-14 was the first of the American teen-series fighters, which were designed incorporating the experience of air combat against MiG fighters during the Vietnam War.The F-14 first flew in December 1970 and made its first deployment in 1974 with the U.S.",what was the first tomcat
<dbpedia:Franchising>,Franchising,"Franchising is the practice of the right to use a firm's business model and brand  for a prescribed period of time. The word ""franchise"" is of Anglo-French derivation—from franc, meaning free—and is used both as a noun and as a (transitive) verb.For the franchiser, the franchise is an alternative to building ""chain stores"" to distribute goods that avoids the investments and liability of a chain. The franchisor's success depends on the success of the franchisees.",what is franchising
<dbpedia:List_of_freshwater_aquarium_plant_species>,List of freshwater aquarium plant species,"Aquatic plants are used to give the freshwater aquarium a natural appearance, oxygenate the water, and provide habitat for fish, especially fry (babies) and for invertebrates. Some aquarium fish and invertebrates also eat live plants. Hobbyists use aquatic plants for aquascaping, of several aesthetic styles.Most of these plant species are found either partially or fully submersed in their natural habitat.",list of aquatic plants
<dbpedia:Facilitated_diffusion>,Facilitated diffusion,Facilitated diffusion (also known as facilitated transport or passive-mediated transport) is the process of spontaneous passive transport (as opposed to active transport) of molecules or ions across a biological membrane via specific transmembrane integral proteins.,what is facilitated diffusion
<dbpedia:Finlandization>,Finlandization,"Finlandization (Finnish: suomettuminen; Swedish: finlandisering; German: Finnlandisierung) is the process by which one powerful country strongly influences the policies of a smaller neighboring country, while allowing it to keep its independence and its own political system.",finlandization define
