_id,title,text,query
<dbpedia:Hitachi_6309>,Hitachi 6309,"The 6309 is Hitachi's CMOS version of the Motorola 6809 microprocessor. While in ""Emulation Mode"" it is fully compatible with the 6809. To the 6809 specifications it adds higher clock rates, enhanced features, new instructions, and additional registers. Most new instructions were added to support the additional registers, as well as up to 32-bit math, hardware division, bit manipulations, and block transfers.",cmos chip specifications
<dbpedia:Hansie_Cronje>,Hansie Cronje,"Wessel Johannes ""Hansie"" Cronje (25 September 1969 – 1 June 2002) was a South African cricketer and captain of the South African national cricket team in the 1990s. He died in a plane crash in 2002. He was voted the 11th greatest South African in 2004 despite having been banned from cricket for life due to his role in a match-fixing scandal.",who is hansie cronje
<dbpedia:Harvey_Mudd_College>,Harvey Mudd College,"Harvey Mudd College is a private residential liberal arts college of science, engineering, and mathematics, founded in 1955 and located in Claremont, California, United States.",where is harvey mudd college
<dbpedia:Percolozoa>,Percolozoa,"The Percolozoa are a group of colourless protozoa, including many that can transform between amoeboid, flagellate, and cyst stages.",what protozoa is a percolozoa
<dbpedia:Hultsfred_Municipality>,Hultsfred Municipality,"Hultsfred Municipality (Hultsfreds kommun) is a municipality in Kalmar County, in south-eastern Sweden. The seat is in the town of Hultsfred.The present municipality was created in 1971 through the amalgamation of the market town (köping) of Hultsfred (instituted in 1927) with a number of surrounding municipalities. In 1863 there were eight entities in the area.Hultsfred is known as the site of a major rock festival in Sweden, the Hultsfred Festival.",where is hultsfred in sweden
<dbpedia:Habakkuk>,Habakkuk,"Habakkuk (/həˈbækək/ or /ˈhæbəkʊk/; Hebrew: חֲבַקּוּק‎; also spelled Habacuc), was a prophet in the Hebrew Bible. He is the author of the Book of Habakkuk, the eighth of the collected twelve minor prophets.",what is habakkuk
<dbpedia:Hong_Kong>,Hong Kong,"Hong Kong (香港; ""Fragrant Harbour""), traditionally Hongkong, officially known as Hong Kong Special Administrative Region of the People's Republic of China, is a Special Administrative Region (SAR) on the southern coast of China at the Pearl River Estuary and the South China Sea. Hong Kong is known for its skyline and deep natural harbour. It has an area of 1104 km2 (426 sq mi) and shares its northern border with the Guangdong Province of Mainland China.",where is hk
<dbpedia:History_of_Malaysia>,History of Malaysia,Malaysia is a Southeast Asian country located on strategic sea-lane that exposes it to global trade and foreign culture.,where is malaysia located
<dbpedia:Hadith>,Hadith,"Hadith (/ˈhædɪθ/ or /hɑːˈdiːθ/; Arabic: حديث‎, plural: أحاديث, ahadith) are the collections of the reports purporting to quote what the Islamic prophet Muhammad said verbatim on any matter. The term comes from the Arabic meaning ""report"", ""account"" or ""narrative"".  Hadiths are second only to the Quran in developing Islamic jurisprudence, and regarded as important tools for understanding the Quran and commentaries (tafsir) on it.",define hadith
<dbpedia:Homeland>,Homeland,"A homeland (rel. country of origin and native land) is the concept of the place (cultural geography) with which an ethnic group holds a long history and a deep cultural association – the country in which a particular national identity began. As a common noun, it simply connotes the country of one's origin. When used as a proper noun, the word, as well as its equivalents in other languages, often have ethnic nationalist connotations.",what does homeland mean
<dbpedia:History_of_religions>,History of religions,"The history of religion refers to the written record of human religious experiences and ideas. This period of religious history begins with the invention of writing about 5,200 years ago (3200 BCE). The prehistory of religion relates to a study of religious beliefs that existed prior to the advent of written records.",how long was history of religion
<dbpedia:History_of_the_Pacific_Islands>,History of the Pacific Islands,History of the Pacific Islands covers the history of the islands in the Pacific Ocean.,history of the pacific islands
<dbpedia:Hannibal_Hamlin>,Hannibal Hamlin,"Hannibal Hamlin (August 27, 1809 – July 4, 1891) was the 15th Vice President of the United States (1861–1865), serving under President Abraham Lincoln during the American Civil War.  He was the first Vice President from the Republican Party.Prior to his election in 1860, Hamlin served in the United States Senate, the House of Representatives, and, briefly, as the 26th Governor of Maine.",who was hannibal hamlin
<dbpedia:Hafnium>,Hafnium,"Hafnium is a chemical element with symbol Hf and atomic number 72. A lustrous, silvery gray, tetravalent transition metal, hafnium chemically resembles zirconium and is found in zirconium minerals. Its existence was predicted by Dmitri Mendeleev in 1869, though hafnium was not identified until 1923, making it the penultimate stable element to be discovered (rhenium was identified two years later).",what is the chemical symbol for hafnium?
<dbpedia:Gro_Harlem_Brundtland>,Gro Harlem Brundtland,"Gro Harlem Brundtland (Norwegian: [ɡruː hɑːɭɛm brʉntlɑnː]  (13px listen); born Gro Harlem, 20 April 1939) is a former Prime Minister of Norway, a current Special Envoy with the United Nations, and the Deputy Chair of The Elders.Brundtland, MD has served as a physician, a Social Democratic politician and a diplomat, and is now an international leader in sustainable development and public health.She served three terms as Norway's Prime Minister: in 1981, in 1986–89, and in 1990–96.She served as Vice-President of Socialist International.She served as the Director General of the UN World Health Organization and is now a Special Envoy on Climate Change for the United Nations Secretary-General, Ban Ki-moon.In 2008 she became the recipient of the Thomas Jefferson Foundation Medal in Architecture.",who is gro harlem
<dbpedia:Hockey>,Hockey,"Hockey is a family of sports in which two teams play against each other by trying to maneuver a ball or a puck into the opponent's goal using a hockey stick. In many areas, one sport (typically field hockey or ice hockey) is generally referred to simply as hockey.",what is hockey
<dbpedia:Hiragana>,Hiragana,"Hiragana (平仮名, ひらがな) is a Japanese syllabary, one basic component of the Japanese writing system, along with katakana, kanji, and in some cases rōmaji (the Latin-script alphabet). The word hiragana means ""ordinary syllabic script"".Hiragana and katakana are both kana systems. With one or two minor exceptions, each sound in the Japanese language (strictly, each mora) is represented by one character (or one digraph) in each system.",what is hiragana
<dbpedia:Hank_Greenberg>,Hank Greenberg,"Henry Benjamin ""Hank"" Greenberg (January 1, 1911 – September 4, 1986), nicknamed ""Hammerin' Hank,"" ""Hankus Pankus"" or ""The Hebrew Hammer,"" was a former American professional baseball player. He played in Major League Baseball (MLB) primarily for the Detroit Tigers as a first baseman in the 1930s and 1940s.  A member of the Baseball Hall of Fame, he was one of the premier power hitters of his generation and is widely considered as one of the greatest sluggers in baseball history.",when did hank greenberg die
<dbpedia:History_of_Afghanistan>,History of Afghanistan,"The written history of Afghanistan (Pashto: د افغانستان تاريخ‎ , Da Afġānistān Tārīkh), can be traced back to around 500 BCE when the area was under the Achaemenid Empire, although evidence indicates that an advanced degree of urbanized culture has existed in the land since between 3000 and 2000 BCE. The Indus Valley Civilisation stretched up to large parts of Afghanistan in the north, with several sites being known.",when did afghanistan become part of islam
<dbpedia:Hominy>,Hominy,Hominy is a food which consists of dried maize kernels which have been treated with an alkali in a process called nixtamalization.,define homoiny
<dbpedia:Hydroxide>,Hydroxide,"Hydroxide is a diatomic anion with chemical formula OH−. It consists of an oxygen and hydrogen atom held together by a covalent bond, and carries a negative electric charge. It is an important but usually minor constituent of water. It functions as a base, a ligand, a nucleophile and a catalyst. The hydroxide ion forms salts, some of which dissociate in aqueous solution, liberating solvated hydroxide ions. Sodium hydroxide is a multi-million-ton per annum commodity chemical.",what is the structure of the hydrogen hydroxide
<dbpedia:Halakha>,Halakha,"Halakha (/hɑːˈlɔːxə/; Hebrew: הֲלָכָה, Sephardic: [halaˈχa]; also transliterated as halacha,  halachah or halocho) (Ashkenazic: [haˈloχo]) is the collective body of Jewish religious laws derived from the Written and Oral Torah.",define halacha
<dbpedia:Hans-Georg_Gadamer>,Hans-Georg Gadamer,"Hans-Georg Gadamer (German: [ˈɡaːdamɐ]; February 11, 1900 – March 13, 2002) was a German philosopher of the continental tradition, best known for his 1960 magnum opus Truth and Method (Wahrheit und Methode) on hermeneutics.",who is hans georg gadamer?
<dbpedia:Honeymoon>,Honeymoon,"A honeymoon is the traditional holiday taken by newlyweds to celebrate their marriage in intimacy and seclusion. Today, honeymoons are often celebrated in destinations considered exotic and/or romantic.",what is honeymoon?
<dbpedia:Hershey–Chase_experiment>,Hershey–Chase experiment,"The Hershey–Chase experiments were a series of experiments conducted in 1952 by Alfred Hershey and Martha Chase that helped to confirm that DNA is the genetic material.  While DNA had been known to biologists since 1869, many scientists still assumed at the time that proteins carried the information for inheritance because DNA appeared simpler than proteins.",what was the hershey chase experiment in
<dbpedia:House_of_Commons_of_the_United_Kingdom>,House of Commons of the United Kingdom,"The House of Commons is the lower house of the Parliament of the United Kingdom of Great Britain and Northern Ireland which, like the House of Lords (the upper house), meets in the Palace of Westminster.The House is an elected body consisting of 650 members known as Members of Parliament (MPs).",what is the house of commons
<dbpedia:Heracles>,Heracles,"Heracles (/ˈhɛrəkliːz/ HERR-ə-kleez; Ancient Greek: Ἡρακλῆς, Hēraklēs, from Hēra, ""Hera"", and kleos, ""glory""), born Alcaeus (Ἀλκαῖος, Alkaios) or Alcides (Ἀλκείδης, Alkeidēs), was a divine hero in Greek mythology, the son of Zeus and Alcmene, foster son of Amphitryon and great-grandson (and half-brother) of Perseus.",what was heracles
<dbpedia:History_of_France>,History of France,"The first written records for the history of France appear in the Iron Age. What is now France made up the bulk of the region known to the Romans as Gaul. Roman writers noted the presence of three main ethno-linguistic groups in the area: the Gauls, the Aquitani, and the Belgae.",when was europe's first written record
<dbpedia:Outline_of_health_sciences>,Outline of health sciences,"The following outline is provided as an overview of and topical guide to health sciences.Health sciences are applied sciences that address the use of science, technology, engineering or mathematics in the delivery of healthcare.",what is the sa in health
<dbpedia:History_of_Albania>,History of Albania,"The history of Albania emerges from the pre-history of the Balkan states around 3000 BC, with early records of Illyria in Greco-Roman historiography. The modern territory of Albania had no counterpart in the standard political divisions of classical antiquity. Rather, its modern boundaries correspond to parts of the ancient Roman provinces of Dalmatia (southern Illyricum), Macedonia (particularly Epirus Nova), and Moesia Superior.",what is the history of albania
<dbpedia:Hemicellulose>,Hemicellulose,"A hemicellulose (also known as polyose) is any of several heteropolymers (matrix polysaccharides), such as arabinoxylans, present along with cellulose in almost all plant cell walls. While cellulose is crystalline, strong, and resistant to hydrolysis, hemicellulose has a random, amorphous structure with little strength. It is easily hydrolyzed by dilute acid or base as well as myriad hemicellulase enzymes.",what is a hemicellulose
<dbpedia:History_of_the_graphical_user_interface>,History of the graphical user interface,"The history of the graphical user interface, understood as the use of graphic icons and a pointing device to control a computer, covers a five-decade span of incremental refinements, built on some constant core principles.",what is the gu?
