_id,title,text,query
<dbpedia:Creature_of_statute>,Creature of statute,"Creatures of statute (also known as creatures of the state) are legal entities, such as corporations, created by statute. Creatures of statute may include municipalities and other artificial legal entities or relationships.",what is the definition of creatures of statute
<dbpedia:Causantín_mac_Cináeda>,Causantín mac Cináeda,"Causantín or Constantín mac Cináeda (in Modern Gaelic, Còiseam mac Choinnich; died 877) was a king of the Picts. He is often known as Constantine I, in reference to his place in modern lists of kings of Scots, though contemporary sources described Causantín only as a Pictish king. A son of Cináed mac Ailpín ""\Kenneth MacAlpin""), he succeeded his uncle Domnall mac Ailpín as Pictish king following the latter's death on 13 April 862.",who was causantin
"<dbpedia:Chapter_11,_Title_11,_United_States_Code>","Chapter 11, Title 11, United States Code","Chapter 11 is a chapter of Title 11 of the United States Bankruptcy Code, which permits reorganization under the bankruptcy laws of the United States. Chapter 11 bankruptcy is available to every business, whether organized as a corporation, partnership or sole proprietorship, and to individuals, although it is most prominently used by corporate entities.",chapter 11 meaning
<dbpedia:General_Conference_on_Weights_and_Measures>,General Conference on Weights and Measures,The General Conference on Weights and Measures (French: Conférence générale des poids et mesures - CGPM) is the senior of the three Inter-governmental organizations established in 1875 under the terms of the Metre Convention (French: Convention du Mètre) to represent the interests of member states.,gcpm definition
<dbpedia:Caste>,Caste,"Caste is a form of social stratification characterized by endogamy, non-commensality and hereditary occupations. According to Human Rights Watch and UNICEF, caste discrimination affects an estimated 250 million people worldwide.A paradigmatic, ethnographic example is the division of Indian society into social groups. Historically, the caste system in India has consisted of thousands of endogamous groups called Jatis or Quoms and Biradaris (among Muslims).",what is caste discrimination
<dbpedia:Hypothetical_types_of_biochemistry>,Hypothetical types of biochemistry,"Hypothetical types of biochemistry are forms of biochemistry speculated to be scientifically viable but not proven to exist at this time. The kinds of living beings currently known on Earth all use carbon compounds for basic structural and metabolic functions, water as a solvent and DNA or RNA to define and control their form.",hypothetical biochemistry definition
<dbpedia:Cookie>,Cookie,"In the United States and Canada a cookie is a small, flat, sweet baked treat, usually containing flour, eggs, sugar, and either butter, cooking oil or another oil or fat, and often including ingredients such as raisins, oats, chocolate chips or nuts. Cookies may be mass-produced, made in small bakeries or home-made. Cookie variants include using two thin cookies with a creme filling (e.g., Oreos) and dipping the cookie in chocolate or another sweet coating.",what is a cookie
<dbpedia:Centimetre–gram–second_system_of_units>,Centimetre–gram–second system of units,"The centimetre–gram–second system of units (abbreviated CGS or cgs) is a variant of the metric system based on the centimetre as the unit of length, the gram as the unit of mass, and the second as the unit of time.",what is the cgs
<dbpedia:Christopher_Guest>,Christopher Guest,"Christopher Haden-Guest, 5th Baron Haden-Guest (born February 5, 1948), better known as Christopher Guest, is an English-American screenwriter, composer, musician, director, actor, and comedian who holds dual British and American citizenship. He is most widely known in Hollywood for having written, directed and starred in several improvisational ""mockumentary"" films featuring an ensemble cast.",when was christopher guest born
<dbpedia:Complementary_DNA>,Complementary DNA,"In genetics, complementary DNA (cDNA) is double-stranded DNA synthesized from a messenger RNA (mRNA) template in a reaction catalysed by the enzyme reverse transcriptase. cDNA is often used to clone eukaryotic genes in prokaryotes.  When scientists want to express a specific protein in a cell that does not normally express that protein (i.e., heterologous expression), they will transfer the cDNA that codes for the protein to the recipient cell.",what is cdna used for
