_id,title,text,query
<dbpedia:640s>,640s,"This is a list of events occurring in the 640s, ordered by year.=== 640 ====== By place ======= Europe ==== February 27 – Pepin the Elder, Mayor of the Palace of Austrasia, dies and is succeeded by his son Grimoald. He becomes the head of the Frankish household and the most powerful man in the Frankish Kingdom (approximate date).  King Chintila dies of natural causes after a 3-year reign, he permits the bishops wide authority in Hispania, Septimania and Galicia.",what was the year of pepin the elder
<dbpedia:10BASE2>,10BASE2,"10BASE2 (also known as cheapernet, thin Ethernet, thinnet, and thinwire) is a variant of Ethernet that uses thin coaxial cable (RG-58A/U or similar, as opposed to the thicker RG-8 cable used in 10BASE5 networks), terminated with BNC connectors.",what is 10ba
<dbpedia:1450s>,1450s,"This is a list of events occurring in the 1450s, ordered by year.=== 1450 ====== January–December === February 7 – John de la Pole, 2nd Duke of Suffolk, marries Lady Margaret Beaufort. February 26 – Francesco Sforza enters Milan after a siege, becoming Duke of the city-state and founding a dynasty that would rule Milan for a century. March – French troops under Guy de Richemont besiege the English commander in France, Edmund Beaufort, 1st Duke of Somerset, in Caen.",what are events from 1450
<dbpedia:1200s_(decade)>,1200s (decade),"This is a list of events occurring in the 1200s, ordered by year.=== 1200 === August 24 – After touring an army through Aquitaine to assert his right to it, John of England weds 13-year-old Isabella of Angoulême at Bordeaux. The Iroquois invade modern-day Ohio from the north. The Mongols defeat Northern China. The University of Paris receives its charter from Philip II of France.",what is a decade from the 1200s?
<dbpedia:380s>,380s,"This is a list of events occurring in the 380s, ordered by year.=== 380 ====== By place ======= Roman Empire ==== January or February – Emperor Theodosius I is baptized.  February 27 – Edict of Thessalonica: Theodosius I, with co-emperors Gratian and Valentinian II, declare their wish that all Roman citizens convert to trinitarian Christianity, in accordance with the patriarchs of Rome and Alexandria, implicitly rejecting the Arianism of the patriarch of Constantinople as heretical.",what month did the emperor valentinian ii convert to christianity
<dbpedia:470s>,470s,"This is a list of events occurring in the 470s, ordered by year.=== 470 ====== By place ======= Roman Empire ==== Emperor Anthemius appeals to the Britons for military help against the Visigoths. A Breton force (12,000 men) under the Celtic leader Riothamus lands in Gaul but is defeated by king Euric. He expands the Visigothic Kingdom further north, possibly as far as the Somme River.",what happens in 470s
<dbpedia:1320s>,1320s,"This is a list of events occurring in the 1320s, ordered by year.=== 1320 ====== January–December === January 20 – Duke Wladyslaw Lokietek becomes king of Poland. April 6 – The Scots reaffirm their independence by signing the Declaration of Arbroath.=== Date unknown === Ghiyas al-Din Tughlaq founds the Tughlaq dynasty of the Delhi Sultanate. The Venetian Arsenal is rebuilt as the Arsenal Nuovo. The Second Shepherds' Crusade begins. Dante's Quaestio de Aqua et Terra is published.",what are events in the 1320s
<dbpedia:680s>,680s,"This is a list of events occurring in the 680s, ordered by year.=== 680 ====== By place ======= Byzantine Empire ==== Byzantine–Bulgarian War: The Bulgars under Asparukh subjugate the country of current-day Bulgaria north of the Balkan Mountains. Emperor Constantine IV leads a combined land and sea operation against the invaders and besieges their fortified camp in Dobruja.",what were the major events of the 680s
<dbpedia:10BASE5>,10BASE5,"10BASE5 (also known as thick ethernet or thicknet) was the original commercially available variant of Ethernet.For its physical layer it used cable similar to RG-8/U coaxial cable but with extra braided shielding. This is a stiff, 0.375-inch (9.5 mm) diameter cable with an impedance of 50 ohms (Ω), a solid center conductor, a foam insulating filler, a shielding braid, and an outer jacket.",what is 10ba
<dbpedia:100BaseVG>,100BaseVG,"100BaseVG is a 100 Mbit/s Ethernet standard specified to run over four pairs of category 3 UTP wires (known as voice grade, hence the ""VG""). It is also called 100VG-AnyLAN because it was defined to carry both Ethernet and token ring frame types.100BaseVG was originally proposed by Hewlett-Packard, ratified by the ISO in 1995 and was practically extinct by 1998.100BaseVG started in the IEEE 802.3 committee as Fast Ethernet.",what is 100base vg
